,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
343,b.y.o.b.,system of a down,2005,"Thrash Metal,Alternative Metal,Alternative Rock,Metal,Heavy Metal,Rock",20,1
344,right here,staind,2005,"Nu-Metal,Alternative Metal,Alternative Rock,Rock",20,1
345,a real fine place to start,sara evans,2005,Country,20,1
346,this is how a heart breaks,rob thomas,2005,Pop,20,1
347,u don't know me,t.i.,2005,Rap,20,1
348,the hand that feeds,nine inch nails,2005,"Industrial,Industrial Rock,Rock",20,1
349,that's what i love about sunday,craig morgan,2005,Country,20,1
350,almost,bowling for soup,2005,"Punk Rock,Pop-Punk,Rock",20,1
351,sunday morning,maroon 5,2005,"Blue-Eyed Soul,Jazz Fusion,Rock,Soul,Pop",20,1
352,something to be proud of,montgomery gentry,2005,Country,20,1
353,something more,sugarland,2005,"Country,Rock",20,1
354,anything but mine,kenny chesney,2005,"Country,Rock",20,1
355,as good as i once was,toby keith,2005,"Country,Rock",20,1
356,back then,mike jones,2005,Rap,20,1
357,o,omarion,2005,R&;B,20,1
358,play,david banner,2005,Rap,20,1
359,outta control,50 cent,2005,"Remix,Rap",20,1
360,ordinary people,john legend,2005,R&;B,20,1
361,my humps,the black eyed peas,2005,"Dance,Pop,Rap",19,2
362,lot of leavin' left to do,dierks bentley,2005,Country,19,1
363,redneck yacht club,craig morgan,2005,Country,19,1
364,how to deal,frankie j,2005,Pop,19,1
365,pimpin' all over the world,ludacris,2005,Rap,19,1
366,"sitting, waiting, wishing",jack johnson,2005,"Singer-Songwriter,Island Music,Adult Alternative,Acoustic,Folk Rock,Rock",19,1
367,your body,pretty ricky,2005,R&;B,19,1
368,make her feel good,teairra mari,2005,R&;B,18,1
369,shake,ying yang twins,2005,"Dirty South,Rap",18,2
370,mockingbird,eminem,2005,"Hip-Hop,Conscious Hip-Hop,Piano,Fairy Tale / Nursery Rhyme,Lullaby,Rap",18,2
371,be yourself,audioslave,2005,"Post-Grunge,Alternative Rock,Hard Rock,Rock",18,1
372,alcohol,brad paisley,2005,"Country,Rock",18,1
373,i don't want to be,gavin degraw,2005,"Pop,Pop-Rock,Rock",17,2
374,how could you,mario,2005,"R&;B,Rap",17,1
375,because of you,kelly clarkson,2005,"Pop-Rock,Ballad,Pop",17,2
376,bless the broken road,rascal flatts,2005,"Soundtrack,Country,Rock",17,2
377,get right,jennifer lopez,2005,"Pop,R&;B",17,1
378,better life,keith urban,2005,Country,17,2
379,best i ever had,gary allan,2005,Country,17,2
380,you'll be there,george strait,2005,"Country,Rock",17,1
381,she will be loved,maroon 5,2005,"Ballad,Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",17,2
